Var1,Var2
0,-2.88120019115775e-08
0.001,-8.51935523529279e-08
0.002,-1.8899789670592e-07
0.003,-3.47140355048663e-07
0.004,-5.64096583686834e-07
0.005,-8.4329025140376e-07
0.006,-1.18479783757157e-06
0.007,-1.58466673050909e-06
0.008,-2.03513779952619e-06
0.009,-2.52388364961728e-06
0.01,-3.03155289275299e-06
0.011,-3.5277790043426e-06
0.012,-3.96699009376415e-06
0.013,-4.2856118968736e-06
0.014,-4.40365081185371e-06
0.015,-4.23122718558204e-06
0.016,-3.67631987533388e-06
0.017,-2.64904380308415e-06
0.018,-1.06120340593143e-06
0.019,1.17191500743289e-06
0.02,4.12580103677642e-06
0.021,7.87019575677997e-06
0.022,1.24825050636079e-05
0.023,1.80519186452108e-05
0.024,2.46711353260092e-05
0.025,3.24341378693345e-05
0.026,4.14480594238964e-05
0.027,5.18494171345018e-05
0.028,6.38136229724438e-05
0.029,7.75528776504581e-05
0.03,9.33017281530931e-05
0.031,0.000111293175805338
0.032,0.000131736283289122
0.033,0.000154810715716104
0.034,0.000180678787254892
0.035,0.000209498267379933
0.036,0.000241427637243907
0.037,0.000276628015263717
0.038,0.000315260350536455
0.039,0.00035747945872303
0.04,0.000403436460745294
0.041,0.000453286867706273
0.042,0.000507188421098839
0.043,0.000565290664091845
0.044,0.000627731013590466
0.045,0.000694637274404794
0.046,0.000766128065260324
0.047,0.000842314178156264
0.048,0.000923305726810651
0.049,0.00100921603098034
0.05,0.00110015430896595
0.051,0.00119621701540069
0.052,0.00129748766323264
0.053,0.0014040389221273
0.054,0.00151593377995653
0.055,0.00163323440434011
0.056,0.00175601688899412
0.057,0.00188437825636369
0.058,0.00201843304372259
0.059,0.00215830728672239
0.06,0.00230413308545641
0.061,0.00245604415263714
0.062,0.00261417351972495
0.063,0.00277865059960271
0.064,0.00294959669390096
0.065,0.00312712305238882
0.066,0.00331133077186751
0.067,0.00350230876084847
0.068,0.00370012996905927
0.069,0.00390485019092588
0.07,0.00411651646601474
0.071,0.00433518299051688
0.072,0.00456091963055476
0.073,0.00479380821587082
0.074,0.00503393939694805
0.075,0.0052814157291952
0.076,0.00553635356470357
0.077,0.00579888236107953
0.078,0.00606914442416712
0.079,0.00634729377214483
0.08,0.00663349544075669
0.081,0.00692792386243588
0.082,0.00723075270725671
0.083,0.00754214011716996
0.084,0.00786222022894573
0.085,0.00819109835181289
0.086,0.00852884393566576
0.087,0.0088754846568563
0.088,0.00923100476944651
0.089,0.00959534963312943
0.09,0.00996843867891382
0.091,0.0103501794099916
0.092,0.0107404703307289
0.093,0.0111391960372111
0.094,0.011546229900917
0.095,0.0119614488491802
0.096,0.0123847513127055
0.097,0.012816069723443
0.098,0.0132553712595618
0.099,0.0137026438077517
0.1,0.014157874933344
0.101,0.0146210389102099
0.102,0.0150920985849762
0.103,0.0155710133743429
0.104,0.0160577438567818
0.105,0.0165522550309431
0.106,0.0170545186934673
0.107,0.0175645088892559
0.108,0.0180821946457198
0.109,0.018607540411082
0.11,0.019140510860052
0.111,0.0196810685072747
0.112,0.0202291628052445
0.113,0.0207847180314721
0.114,0.0213476269169461
0.115,0.0219177557718527
0.116,0.0224949576713494
0.117,0.0230790802354034
0.118,0.0236699656957999
0.119,0.0242674517045108
0.12,0.0248713711585426
0.121,0.0254815473552482
0.122,0.0260977892067277
0.123,0.0267198859135379
0.124,0.0273475973371626
0.125,0.0279806469580483
0.126,0.0286187277718409
0.127,0.0292615202971061
0.128,0.0299087097056298
0.129,0.0305599891194517
0.13,0.0312150487897094
0.131,0.0318735637887938
0.132,0.0325351925970225
0.133,0.0331995854130883
0.134,0.0338663931566513
0.135,0.0345352753322035
0.136,0.035205907455605
0.137,0.035877982351395
0.138,0.0365512036263392
0.139,0.0372252781964471
0.14,0.0378999117964349
0.141,0.0385748056781344
0.142,0.0392496565031369
0.143,0.0399241648005716
0.144,0.0405980489705819
0.145,0.0412710568393224
0.146,0.0419429721774424
0.147,0.0426136131843969
0.148,0.0432828196130653
0.149,0.0439504362725169
0.15,0.0446163039633228
0.151,0.0452802581883576
0.152,0.0459421325218357
0.153,0.0466017660394568
0.154,0.0472590080862678
0.155,0.0479137100818131
0.156,0.0485657070871757
0.157,0.0492148067410517
0.158,0.0498607966428399
0.159,0.05050346152124
0.16,0.0511425945950842
0.161,0.0517779980949871
0.162,0.0524094826684549
0.163,0.0530368747728286
0.164,0.0536600229685651
0.165,0.0542787905148268
0.166,0.0548930420187625
0.167,0.0555026379588141
0.168,0.0561074337621236
0.169,0.0567072764684181
0.17,0.0573020058452344
0.171,0.0578914649944236
0.172,0.0584755095653627
0.173,0.0590540043140624
0.174,0.0596268119659863
0.175,0.0601937889159136
0.176,0.0607547915928031
0.177,0.0613096809896851
0.178,0.0618583163750444
0.179,0.0624005454042723
0.18,0.0629362020509961
0.181,0.063465114530592
0.182,0.0639871161967412
0.183,0.0645020532609214
0.184,0.065009789816683
0.185,0.0655102113890004
0.186,0.0660032232951209
0.187,0.0664887404604382
0.188,0.066966676670957
0.189,0.0674369476505584
0.19,0.0678994875437178
0.191,0.0683542605470992
0.192,0.0688012555728366
0.193,0.0692404726723222
0.194,0.0696719165063503
0.195,0.0700956021870728
0.196,0.0705115670654741
0.197,0.0709198751068221
0.198,0.0713206083987235
0.199,0.0717138573740712
0.2,0.0720997195888095
0.201,0.0724783018091514
0.202,0.0728497196993026
0.203,0.0732140954144492
0.204,0.0735715506303752
0.205,0.0739221945485731
0.206,0.0742661170355261
0.207,0.0746033942884451
0.208,0.0749340968144918
