t,s,phi1,Ds,Dphi1,u
0,0,2.94524311274043,0,0,7.29954844223944e-06
0.00133333333333333,-7.92304362312455e-07,2.94523501444184,-0.00118625433263992,-0.0121399552702584,2.19632744450912e-05
0.00266666666666667,-3.15751919727552e-06,2.94521075920634,-0.00235940005914739,-0.0242356280560942,5.13026812720622e-05
0.004,-7.07831119940575e-06,2.94517040517188,-0.00351964149212051,-0.0362883483814613,0.000101402155122372
0.00533333333333333,-1.25376515852803e-05,2.94511400864482,-0.0046671928698815,-0.0482994764829427,0.000179168438819046
0.00666666666666667,-1.95186445751586e-05,2.94504162451903,-0.00580220575995777,-0.0602701680213305,0.000291971015835678
0.008,-2.80046380948432e-05,2.94495330601379,-0.00692483438080398,-0.0722015849307753,0.000444610541590778
0.00933333333333333,-3.79792494920803e-05,2.94484910461288,-0.00803524947593997,-0.0840949402335486,0.00063492684785635
0.0106666666666667,-4.94263655365602e-05,2.9447290700646,-0.00913363831395072,-0.0959514980400432,0.000851639409974983
0.012,-6.23301424199165e-05,2.94459325038176,-0.0102202046884864,-0.107772573548773,0.00107571250928577
0.0133333333333333,-7.6675005755727e-05,2.94444169184167,-0.0112951689182623,-0.119559533046374,0.00128364851127841
0.0146666666666667,-9.24456505795131e-05,2.94427443898614,-0.012358767847059,-0.131313793907601,0.00145020979815973
0.016,-0.00010962704134874,2.9440915346215,-0.013411254843722,-0.143036824595333,0.00154848407507245
0.0173333333333333,-0.000128204283234914,2.94389302031162,-0.0144528983335125,-0.154730141356762,0.00154863013576809
0.0186666666666667,-0.000148147497282165,2.94367899442932,-0.015483836042362,-0.166395006611429,0.00141949913110116
0.02,-0.000169435133510751,2.94344952316433,-0.0165043938455366,-0.178033199352581,0.00113353831104296
0.0213333333333333,-0.000192057913642873,2.94320462519802,-0.0175150458421427,-0.189646844341603,0.000670285628532748
0.0226666666666667,-0.000216006847526959,2.94294431754045,-0.0185162576627669,-0.201238040342969,1.53592300220589e-05
0.024,-0.000241273233137662,2.94266861553037,-0.0195084864694759,-0.212808860124246,-0.000842677755506733
0.0253333333333333,-0.00026784865657586,2.94237753283516,-0.0204921809558168,-0.224361350456093,-0.00191384912937299
0.0266666666666667,-0.000295724992068659,2.94207108145088,-0.0214677813468165,-0.235897532112259,-0.00320710641029167
0.028,-0.000324894401969389,2.94174927170226,-0.0224357193989822,-0.247419399869586,-0.0047314351636979
0.0293333333333333,-0.000355349336757604,2.94141211224271,-0.0233964184003014,-0.258928922508006,-0.0064965591894904
0.0306666666666667,-0.000387082535039088,2.94105961005428,-0.0243502931702415,-0.270428042810543,-0.00851239177116102
0.032,-0.000420087023545847,2.9406917704477,-0.0252977500597502,-0.281918677563312,-0.0107887171170618
0.0333333333333333,-0.000454356117136113,2.94030859706238,-0.0262391869512552,-0.293402717555522,-0.0133346791373235
0.0346666666666667,-0.000489883418794347,2.93991009186639,-0.0271749932586645,-0.30488202757947,-0.0161567972368651
0.036,-0.000526662819631231,2.93949625515645,-0.0281055499273662,-0.316358446430547,-0.0192571225419631
0.0373333333333333,-0.000564688498883676,2.93906708555796,-0.0290312294342285,-0.327833786907234,-0.0226332343339263
0.0386666666666667,-0.000603954923914818,2.938622580025,-0.0299523957875999,-0.339309835811104,-0.0262787569549059
0.04,-0.000644456850214018,2.9381627338403,-0.0308694045273088,-0.350788353946821,-0.0301826167878218
0.0413333333333333,-0.000686189321396863,2.93768754061526,-0.0317826027246639,-0.362271076122142,-0.0343286679795431
0.0426666666666667,-0.000729147669205165,2.93719699228995,-0.032692328982454,-0.373759711147913,-0.0386989258708578
0.044,-0.000773327513506964,2.93669107913312,-0.0335989134349482,-0.385255941838075,-0.0432783753646419
0.0453333333333333,-0.000818724762296523,2.93616978974215,-0.0345026777478954,-0.396761425009656,-0.0480554319183001
0.0466666666666667,-0.000865335611694333,2.93563311104313,-0.0354039351185251,-0.408277791482778,-0.0530185268487668
0.048,-0.000913156545947108,2.9350810282908,-0.0363029902755466,-0.419806646080656,-0.0581553012676727
0.0493333333333333,-0.00096218433742779,2.93451352506856,-0.0372001394791494,-0.431349567629594,-0.0634558269761129
0.0506666666666667,-0.00101241604663555,2.93393058328848,-0.0380956705210033,-0.442908108958988,-0.0689147064449546
0.052,-0.00106384902219577,2.93333218319131,-0.0389898627242581,-0.454483796901325,-0.074529317261524
0.0533333333333333,-0.00111648090086007,2.93271830334645,-0.0398829869435439,-0.466078132292185,-0.0802971747234702
0.0546666666666667,-0.00117030960750631,2.93208892065199,-0.0407753055649707,-0.477692589970239,-0.0862151573554748
0.056,-0.00122533335513854,2.93144401033465,-0.0416670725061288,-0.489328618777248,-0.0922795811028139
0.0573333333333333,-0.00128155064488707,2.93078354594986,-0.0425585332160888,-0.500987641558067,-0.0984864660218896
0.0586666666666667,-0.00133896026600841,2.93010749938169,-0.0434499246754012,-0.512671055160639,-0.104833318050812
0.06,-0.00139756129588531,2.92941584084289,-0.0443414753960966,-0.524380230436003,-0.111321238336216
0.0613333333333333,-0.00145735310002675,2.92870853887486,-0.0452334054216861,-0.536116512238285,-0.117954080689047
0.0626666666666667,-0.00151833533206791,2.92798556034769,-0.0461259263271606,-0.547881219424705,-0.12473482266941
0.064,-0.00158050793377024,2.92724687046013,-0.0470192412189913,-0.559675644855575,-0.131662712948501
0.0653333333333333,-0.00164387113502137,2.92649243273958,-0.0479135447351295,-0.571501055394295,-0.138733025522963
0.0666666666666667,-0.00170842545383517,2.92572220904213,-0.0488090230450067,-0.583358691907362,-0.145937784466196
