Var1,Var2
0.174,-0.0290028305117134
0.175,-0.0292625985325685
0.176,-0.0295206677264383
0.177,-0.0297770616829261
0.178,-0.0300318058584618
0.179,-0.0302849267802064
0.18,-0.0305364525658388
0.181,-0.0307864152706025
0.182,-0.0310348543703124
0.183,-0.0312818191131716
0.184,-0.0315273693305513
0.185,-0.0317715748177636
0.186,-0.0320145123195034
0.187,-0.0322562613035886
0.188,-0.0324969005859879
0.189,-0.0327365054976912
0.19,-0.0329751466206
0.191,-0.0332128917715853
0.192,-0.0334498076151098
0.193,-0.0336859570961557
0.194,-0.0339213956545895
0.195,-0.0341561698930914
0.196,-0.0343903185917038
0.197,-0.0346238763605593
0.198,-0.0348568789852407
0.199,-0.0350893650842028
0.2,-0.0353213711185821
0.201,-0.0355529247851225
0.202,-0.0357840434446386
0.203,-0.0360147370303599
0.204,-0.0362450100857854
0.205,-0.0364748620970429
0.206,-0.0367042902107029
0.207,-0.0369332954531657
0.208,-0.0371618880831387
0.209,-0.0373900890171725
0.21,-0.0376179297025916
0.211,-0.0378454516578603
0.212,-0.0380727031008116
0.213,-0.0382997345461586
0.214,-0.0385265990049911
0.215,-0.0387533555411463
0.216,-0.0389800686738427
0.217,-0.0392068000524691
0.218,-0.0394335974425821
0.219,-0.0396604892245289
0.22,-0.0398874868975745
0.221,-0.0401145913416301
0.222,-0.0403417979752104
0.223,-0.0405691009442463
0.224,-0.0407965000744797
0.225,-0.041024009362798
0.226,-0.0412516602199477
0.227,-0.0414794968110941
0.228,-0.0417075689238032
0.229,-0.0419359300091616
0.23,-0.0421646411347208
0.231,-0.0423937729056504
0.232,-0.0426233987841024
0.233,-0.0428535824233147
0.234,-0.0430843664232707
0.235,-0.0433157668994978
0.236,-0.0435477745691117
0.237,-0.0437803627038719
0.238,-0.0440134996270497
0.239,-0.0442471575793305
0.24,-0.0444813120094962
0.241,-0.0447159366144239
0.242,-0.0449510030102428
0.243,-0.0451864857922259
0.244,-0.0454223682868878
0.245,-0.0456586453615616
0.246,-0.0458953208411243
0.247,-0.0461323993633019
0.248,-0.0463698768220612
0.249,-0.0466077342222869
0.25,-0.0468459369796651
0.251,-0.0470844398922877
0.252,-0.047323196249313
0.253,-0.0475621680965602
0.254,-0.0478013346345884
0.255,-0.0480406958388397
0.256,-0.0482802707055122
0.257,-0.0485200929413124
0.258,-0.0487602057379832
0.259,-0.0490006544505194
0.26,-0.0492414781057531
0.261,-0.0494827036488198
0.262,-0.0497243450840344
0.263,-0.0499664058421908
0.264,-0.0502088801281209
0.265,-0.0504517506129112
0.266,-0.050694985569936
0.267,-0.0509385400326657
0.268,-0.051182360189873
0.269,-0.0514263875672789
0.27,-0.0516705627649728
0.271,-0.0519148286677795
0.272,-0.0521591304603877
0.273,-0.0524034138525134
0.274,-0.0526476264768117
0.275,-0.0528917226495021
0.276,-0.053135668885056
0.277,-0.0533794487745601
0.278,-0.0536230648050667
0.279,-0.0538665346753071
0.28,-0.0541098818144055
0.281,-0.0543531233572524
0.282,-0.0545962632538151
0.283,-0.0548392945037791
0.284,-0.0550822038430151
0.285,-0.0553249717012401
0.286,-0.0555675702896474
0.287,-0.0558099650973783
0.288,-0.0560521177432952
0.289,-0.056293985723258
0.29,-0.0565355205636182
0.291,-0.0567766693499415
0.292,-0.0570173789041185
0.293,-0.0572575963030423
0.294,-0.0574972651442391
0.295,-0.0577363241249665
0.296,-0.0579747087410499
0.297,-0.0582123493823731
0.298,-0.0584491648889223
0.299,-0.0586850583579601
0.3,-0.0589199182978329
0.301,-0.0591536220209818
0.302,-0.0593860387866109
0.303,-0.0596170331112989
0.304,-0.059846468430675
0.305,-0.0600742102117293
0.306,-0.0603001286528021
0.307,-0.0605241007815144
0.308,-0.0607460107671272
0.309,-0.0609657501190585
0.31,-0.0611832189365349
0.311,-0.061398324581745
0.312,-0.0616109759349771
0.313,-0.061821076419946
0.314,-0.0620285202273044
0.315,-0.0622331937329881
0.316,-0.0624349790525596
0.317,-0.0626337568881159
0.318,-0.0628294094944266
0.319,-0.0630218216010753
0.32,-0.063210877042948
0.321,-0.0633964562617162
0.322,-0.0635784389866126
0.323,-0.0637567079301658
0.324,-0.063931149340158
0.325,-0.0641016531249677
0.326,-0.0642681151574957
0.327,-0.0644304391112516
0.328,-0.0645885370074636
0.329,-0.0647423306222427
0.33,-0.0648917509543621
0.331,-0.0650367318263956
0.332,-0.0651772029451811
0.333,-0.0653130902395459
0.334,-0.0654443190247628
0.335,-0.0655708101842158
0.336,-0.0656924724477034
0.337,-0.0658092019982081
0.338,-0.0659208916818591
0.339,-0.0660274431247675
0.34,-0.0661287755514845
0.341,-0.0662248277557599
0.342,-0.0663155536521735
0.343,-0.0664009178813138
0.344,-0.0664808946252912
