t,s,phi1,phi2,Ds,Dphi1,Dphi2,u
0.62,-0.534215689737787,1.32153796488763,1.18764895452002,-1.27497771992866,0.894519616948094,8.51508998786751,24.0942827079937
0.63,-0.545789391113035,1.32843878069249,1.27216110074977,-1.04090233516421,0.490004568837416,8.38818987647914,22.7054511946956
0.64,-0.555097021633139,1.33136710842812,1.35562696224809,-0.821390779241605,0.106626710848139,8.29519217568457,21.17519283519
0.65,-0.562285134495797,1.3305542695003,1.43831969321175,-0.617722735897464,-0.256331587325078,8.23237400644991,19.5391410922607
0.66,-0.567512948222026,1.32623267782655,1.52046498792806,-0.43082550229606,-0.598054963026546,8.19295162838484,17.830741495013
0.67,-0.570952346656168,1.31863583983613,1.60224108077485,-0.26127398902931,-0.916195060639546,8.16708043974268,16.0809606907775
0.68,-0.57278707763128,1.3079979185163,1.68377760099592,-0.10929955561264,-1.20691408978869,8.14197651744787,14.3180728325054
0.69,-0.573191756875838,1.29457865542554,1.76506685782247,0.0250467338708687,-1.46724812329077,8.10698034346078,12.5675166128658
0.7,-0.572340646754802,1.27871212521997,1.84591983741257,0.142082266467708,-1.69694809351837,8.05562871345338,10.8518160840676
0.71,-0.570405801115284,1.26071880988472,1.92612201387275,0.242320161392084,-1.89670475727239,7.98285007163623,9.19055834201155
0.72,-0.567551510485464,1.24088897346617,2.00544895230343,0.326383429185967,-2.06808409581392,7.8852258750169,7.600421193662
0.73,-0.563934302074592,1.21948266207196,2.08366630879889,0.395004971719089,-2.21352731486423,7.76099059339994,6.09524405621231
0.74,-0.559702939772986,1.19672970387093,2.16052983044727,0.449027582188944,-2.33635084460476,7.61003170938688,4.68613554403419
0.75,-0.554998424152032,1.17282970909319,2.23578535533057,0.48940394512079,-2.44074633967714,7.43388971837625,3.38161147330762
0.76,-0.54995399552593,1.14795207340811,2.30916880254948,0.517196151391917,-2.53178011724214,7.23575680075849,2.18775734329268
0.77,-0.54472922559599,1.1222666712277,2.38032899600918,0.529733099268128,-2.61033387667877,7.00916968433478,1.10840972683213
0.78,-0.539458873157444,1.09586633663818,2.44906589977553,0.530082266904774,-2.68211723605813,6.76070282007258,0.214926702224449
0.79,-0.534188437285092,1.06871476689345,2.51539269361679,0.527144102800601,-2.75924919677421,6.5109320275017,-0.202990958841909
0.8,-0.528901302803095,1.04068292091066,2.57940804728553,0.529080813252236,-2.85318226536518,6.27697185690409,0.263213706312992
0.81,-0.523518740284974,1.01154901927015,2.64129612051863,0.5433163623542,-2.97470245351341,6.0724755893138,1.76555767827269
0.82,-0.517899906053612,0.980998544215502,2.70132656303729,0.576536471998898,-3.13392927804546,5.90763523651702,4.13498287460623
0.83,-0.511841842181252,0.948624239653513,2.75985451454698,0.634688621876623,-3.34031576093208,5.78918154105205,7.13868806707652
0.84,-0.505079476489498,0.913926111154192,2.8173206047375,0.722982049475555,-3.60264842928821,5.7203839762093,10.5899923749042
0.85,-0.497285622549315,0.876311425950772,2.87425095328296,0.845887750081765,-3.92904731537297,5.70105074603132,14.3174705933069
0.86,-0.488070979681029,0.835094712939701,2.93125716984176,1.00713847677921,-4.32696595658971,5.72752878531276,18.1551738955621
0.87,-0.477031134331167,0.789518315768331,2.98881906475056,1.20788130932613,-4.80319612141634,5.78760507099081,21.9519932312201
0.88,-0.46379556161279,0.738754767673734,3.04703969841094,1.44548629922076,-5.36510698895187,5.85588827476797,25.5659847129908
0.89,-0.448007826653291,0.681907201706422,3.10587907483221,1.71683834719683,-6.01939767540641,5.90828347860245,28.8375321374046
0.9,-0.42935496960514,0.618032341109277,3.1650749375078,2.01779662466161,-6.77121219391175,5.92287850144608,31.575695068774
0.91,-0.407567627338776,0.54615500776927,3.2241759605365,2.34293270209938,-7.62318380999197,5.88031003208757,33.5473809071935
0.92,-0.382442865875216,0.465315595267303,3.28257342956247,2.68281889223867,-8.55891666691699,5.78120859961979,34.4561493147322
0.93,-0.35389541214243,0.374820223408516,3.33975174344829,3.0256668513143,-9.53543802199528,5.6681604630945,34.0480727774517
0.94,-0.321961790447317,0.274629555433502,3.39604478391212,3.35892665645571,-10.4895071451329,5.61936867652077,32.3126598458934
0.95,-0.286799680308933,0.165384843200041,3.45269341555237,3.66925387893593,-11.3377764452473,5.74799478341149,29.4707501136748
0.96,-0.248692094475606,0.0484340195293557,3.51191300813853,3.94569695541398,-12.0005347777724,6.17726909002063,25.7934721345032
0.97,-0.20801915766471,-0.074041452332892,3.57721196050327,4.1821992994298,-12.4607999387324,6.94301090283734,21.5207196383848
0.98,-0.165202543629784,-0.200104061964421,3.65190524741521,4.37401230818641,-12.7425122131106,8.02235370557411,16.8626549690597
0.99,-0.120699509294201,-0.328382561928933,3.73865389125942,4.51811158122719,-12.9047800122508,9.35045757112833,12.0013131034226
1,-0.075000713415662,-0.458067871272664,3.839430475211,4.61314562485398,-13.0376057025317,10.8233719945882,7.0184922809287
1.01,-0.0286033343056567,-0.589231827676792,3.95536469068294,4.65735718571304,-13.2178139586424,12.3792673429351,1.78665181489555
1.02,0.0179664716902319,-0.722820453083714,4.08733825388413,4.64669443605926,-13.503180214989,14.016100140942,-3.92520298108234
1.03,0.0641326636283564,-0.859829102996173,4.23594238964221,4.57622654548568,-13.9072776552916,15.7068603546702,-10.228658524276
1.04,0.109269964442607,-1.0012339105187,4.40143190218852,4.44026293903335,-14.3942220418373,17.3946806431023,-17.077327565273
1.05,0.152700103334896,-1.14788900037401,4.58382658792284,4.23347069512517,-14.859464094789,18.9479692944383,-24.3297928935109
1.06,0.193692390916351,-1.29720061844514,4.77821853268242,3.95290470206269,-14.9375063215917,19.8222324170865,-31.7784118279108
1.07,0.231507595392962,-1.44427488464239,4.97646439007545,3.5978957537691,-14.4113057226414,19.7229875387381,-39.1744742583747
1.08,0.265410631033698,-1.58369275356223,5.1701121111513,3.1706644890043,-13.4258450269952,18.9419456706211,-46.2666339564713
1.09,0.294695535295866,-1.71248679939805,5.35525197941428,2.67521109755684,-12.3728805856288,18.1577868903904,-52.8306409028018
1.1,0.318709708316192,-1.83167010287399,5.53465061765437,2.11822709511386,-11.4731668872228,17.7669109234411,-58.6735555958001
1.11,0.336880819792569,-1.94282941172343,5.71254895506219,1.50798040726367,-10.7767196461639,17.8895629950392,-63.5314707002094
