t,s,phi1,Ds,Dphi,u,DDs,DDphi
0,0,2.94524311274043,0,0,-1.09119770665963e-06,-0.894666445031904,-9.12193378802679
0.00133333333333333,-7.92314088083655e-07,2.94523501441066,-0.00118627179333719,-0.0121400112296441,-1.64853497059813e-06,-0.884769064094645,-9.08825689116382
0.00266666666666667,-3.15757544493514e-06,2.94521075902608,-0.00235945763078928,-0.0242358125544765,-1.48692591693472e-06,-0.875037199012729,-9.05561763505985
0.004,-7.07850597117201e-06,2.94517040454768,-0.00351978211729955,-0.0362887990093898,-2.06559598141612e-06,-0.86547009892536,-9.02401185188252
0.00533333333333333,-1.25382017707564e-05,2.94511400688145,-0.00466748590728357,-0.0483004154083063,-8.26134812656549e-06,-0.856069644459731,-8.99344384412619
0.00666666666666667,-1.95198063870496e-05,2.94504162079531,-0.00580276827012516,-0.0602719702940266,-2.86638122464414e-05,-0.846841053865084,-8.96392865302251
0.008,-2.80068166557525e-05,2.9449532990316,-0.00692584731317254,-0.0722048303289865,-7.6445642983237e-05,-0.837793098320214,-8.93549273986545
0.00933333333333333,-3.79831432517592e-05,2.94484909213449,-0.00803697150320559,-0.0841004575440092,-0.000170613187773637,-0.828939020972969,-8.90817692859529
0.0106666666666667,-4.94331106891573e-05,2.94472904845003,-0.00913641966643583,-0.0959604093383051,-0.00033658561635714,-0.820297005261797,-8.88203790435055
0.012,-6.23414573212277e-05,2.9445932141261,-0.0102245009885065,-0.107786338479472,-0.000606343305164219,-0.811890293981476,-8.85714859179667
0.0133333333333333,-7.66933353404447e-05,2.94444163311243,-0.0113015550144923,-0.119579993103494,-0.0010173001474652,-0.803746274285325,-8.83359521878736
0.0146666666666667,-9.2474310778476e-05,2.9442743471606,-0.0123679516488998,-0.131343216714744,-0.00160821695557163,-0.795893165525525,-8.81146669797528
0.016,-0.000109670363506182,2.94409139582404,-0.0134240911556672,-0.143077948185981,-0.00241400339558815,-0.788355807163183,-8.79084112632782
0.0173333333333333,-0.000128267705060102,2.94389281710034,-0.0144703992748711,-0.154786207406884,-0.00346337964083201,-0.78115380150541,-8.77177981606248
