t,s,phi1,phi2,Ds,Dphi1,Dphi2,u
0,0,0,0,0,0,0,-0.00525617877339643
0.01,-4.7628852518047e-07,1.31509916562346e-06,1.12557292940711e-07,-0.00011603335401079,0.000320134327797055,2.77529626057166e-05,-0.0179820640314059
0.02,-2.98474987906879e-06,8.2258914436233e-06,7.24857355684736e-07,-0.000433293290371913,0.00119263095887074,0.000107071816671875,-0.0454931986808245
0.03,-1.03690792744921e-05,2.85231777881484e-05,2.58189296809571e-06,-0.00111733881767747,0.00306805327342232,0.000284616702858251,-0.0916116769652273
0.04,-2.71451568156643e-05,7.45210455267602e-05,6.92950217800954e-06,-0.00234425549747997,0.00642005191385608,0.000615856137841473,-0.15417285905242
0.05,-5.94798233915284e-05,0.000162926949396814,1.55821528122528e-05,-0.00423964639562841,0.0115750053568145,0.00115224950438499,-0.224960872729949
0.06,-0.000114231139584576,0.000312116147315356,3.07692795028273e-05,-0.0068238799996281,0.0185608497888881,0.00192741287516311,-0.292087246348339
0.07,-0.000197676954962159,0.00053851448516812,5.49222974719395e-05,-0.00999743211428719,0.0270683768219485,0.0029508450880297,-0.34027142414609
0.08,-0.00031494431344976,0.000855036845610227,9.05263949364626e-05,-0.0134335870516332,0.0361554369143286,0.00418194784584147,-0.349145749294095
0.09,-0.000465910246454154,0.00125978491922938,0.000139071720502084,-0.0166026188936583,0.0443271055538558,0.00552070348377565,-0.29412791209572
0.1,-0.000643839849764992,0.00173226719586642,0.000200728350911947,-0.0187696076280329,0.0495337519939838,0.00680244333973269,-0.1495711057734
0.11,-0.00083454145117475,0.00223122637095091,0.000273962631702598,-0.0189423819520884,0.0490337036749317,0.00777980739629841,0.110278758440047
0.12,-0.0010116000633189,0.00268179707710735,0.000354036644035056,-0.0157607935682625,0.039106419314512,0.00807723657449828,0.512324464102457
0.13,-0.00113379661561451,0.00296893256877026,0.000431831750598432,-0.00771381756740069,0.0156700815035213,0.00722525250854371,1.08189209005873
0.14,-0.00114400799870047,0.00293508990701313,0.000492802777231655,0.00686937209528889,-0.025721392971297,0.00464048306929939,1.83445037933632
0.15,-0.000968572006840715,0.00237897612677948,0.000516382695583863,0.0298008453566361,-0.0898214761039975,-0.000374401181553105,2.76676278921812
0.16,-0.000513985042566892,0.00104727011756076,0.000474367077142965,0.0628601500926674,-0.181184923159718,-0.00861256279803977,3.84979822474566
0.17,0.000326890470543766,-0.00134657260728383,0.000330847099390581,0.107274254701458,-0.302718590455294,-0.0208459461984027,5.02692962351945
0.18,0.0016708639643021,-0.0051099235291464,4.18810320385045e-05,0.163539380383367,-0.455187127229343,-0.0377815454682344,6.22815551899611
0.19,0.00363717395981261,-0.0105507721050174,-0.000442949366286405,0.231644891639754,-0.637834615039418,-0.0601079232601696,7.39687684579202
0.2,0.00634233367839792,-0.0179619431632894,-0.00118066918065642,0.311235639452561,-0.848831500705231,-0.0885428250697327,8.50439175029019
0.21,0.00989709296009665,-0.0276103533300779,-0.00223636873956669,0.401486710219988,-1.08492775756238,-0.123814976447647,9.5373932303093
0.22,0.0144039152605412,-0.0397298903778461,-0.00368292033130392,0.501587919689178,-1.34278550345608,-0.166799680644672,10.4712716086461
0.23,0.0199570783928031,-0.0545213459295218,-0.00560154677593569,0.610201031560446,-1.61746462125713,-0.218441163706538,11.2514595674352
0.24,0.0266305393019332,-0.0721152351448529,-0.00808348952042556,0.725268849358766,-1.9019241489703,-0.279684048015893,11.7936993335923
0.25,0.0344758320085663,-0.0925662822888128,-0.0112288924869965,0.844097435570152,-2.18729031394485,-0.351435055011757,12.0011186643747
0.26,0.0435149405343823,-0.115833825702807,-0.015145688503481,0.96300080615146,-2.46195564160974,-0.43439367311315,11.7894929343244
0.27,0.0537239850579876,-0.141730764930698,-0.019956434817867,1.07745774945137,-2.71196143350254,-0.529171191409108,11.1081688904911
0.28,0.0650347702800875,-0.169942844467413,-0.0257748273822776,1.18292541058755,-2.92393463654415,-0.635417076355849,9.94812492619506
