t,s,phi1,phi2,Ds,Dphi1,Dphi2,u
0.4,-0.000232910004088256,0.000309267051593507,0.000314271989563229,0.00194722536802106,-0.00849240864230955,0.0014935156316343,0.0526081882227833
0.41,-0.000210748484097919,0.00021677574815641,0.000328107551287722,0.00248165531475229,-0.00998128829234289,0.00125975698566577,0.0540990718355115
0.42,-0.000183244225215665,0.000109613095338754,0.000339389523919553,0.00302477575164102,-0.0114477552853301,0.000976163362441636,0.0544395381439769
0.43,-0.000150345988682267,-1.18485682130356e-05,0.000347584957059428,0.0035642136429732,-0.0128524913918925,0.000642216813988838,0.053421832765144
0.44,-0.000112080044249957,-0.000146974036554147,0.000352145163752812,0.00408580395827449,-0.0141514905686868,0.000258276105108511,0.0509423725756523
0.45,-6.86998076653044e-05,-0.000294522497111474,0.00035262793475925,0.0045759186345944,-0.0153038946067939,-0.000173670691057327,0.0470020545318408
0.46,-2.06729339062179e-05,-0.000452568351338278,0.000348559005148034,0.00501970701164155,-0.0162655688017097,-0.000650951563280051,0.0417171976804887
0.47,3.14632077401365e-05,-0.000618979152678042,0.000339489170825475,0.00540492855409406,-0.0170005685858721,-0.00117047430715966,0.0353325255180109
0.48,8.71070996124505e-05,-0.000791448789449243,0.000325014024923559,0.00572256847407072,-0.0174830883445832,-0.00172866384170504,0.0281918250877348
0.49,0.000145593075675275,-0.00096749748484536,0.000304773957799934,0.00596683773113102,-0.0176974614160091,-0.00232146220933394,0.0206606090396634
0.5,0.000206191321519017,-0.00114447179693487,0.000278454157037921,0.00613517303227515,-0.0176381600911801,-0.00294432857587299,0.0130573261680761
0.51,0.000268107874359944,-0.00131954461866124,0.000245784607446507,0.00622823683194396,-0.0173097956139905,-0.00359223923055772,0.0056354882368808
0.52,0.000330536381809913,-0.00148991632932457,0.000206578475440376,0.0062486518207247,-0.0167231774539211,-0.0042599572290955,-0.00141037570781993
0.53,0.000392818993856742,-0.00165322839954511,0.000160662377689646,0.00620110182449795,-0.0158953826730567,-0.00494242321132654,-0.00795211561620424
0.54,0.000454339050289844,-0.00180720741446128,0.000107851453603623,0.00609170874682681,-0.0148486544264144,-0.00563379902596843,-0.0139546438196881
0.55,0.000514498367172434,-0.00194971885330315,4.80594374464446e-05,0.00592496215162782,-0.0136013437254332,-0.006327417577197,-0.0195060303785172
0.56,0.000572717518951143,-0.00207876897488166,-1.87004275008744e-05,0.00570369397391485,-0.0121678328368426,-0.00701578511537399,-0.0248096982023347
0.57,0.000628435838456015,-0.00219250481758871,-9.23153889404365e-05,0.00542907851979911,-0.0105585352826623,-0.00769058123704712,-0.0301113568515509
0.58,0.00068111141690051,-0.00228921419939706,-0.000172573185557464,0.00510063246648911,-0.00877989584020262,-0.00834265888495002,-0.0356009128384983
0.59,0.000730221103881504,-0.00236732571786039,-0.0002591620470203,0.0047162148622907,-0.00683439054206427,-0.0089620443480023,-0.0413539991397721
0.6,0.000775221180357796,-0.00242529322659275,-0.000351678204427511,0.00427203345042605,-0.00472032468225507,-0.00953828116650516,-0.0473235813243692
0.61,0.000815475027932364,-0.00246134009013777,-0.000449659904717168,0.00376740600901265,-0.00244532914906868,-0.0100610654474593,-0.0533557501566646
0.62,0.000850375056661882,-0.00247385324784117,-0.000552556190823534,0.0032047119110088,-2.61614255593137e-05,-0.0105202637945488,-0.0592201382492688
0.63,0.000879359214867716,-0.00246146623601761,-0.000659711184434331,0.00258717485215203,0.00251797404492913,-0.0109062041285707,-0.0646627854058188
0.64,0.000901910890457334,-0.00242305897810608,-0.000770364073395036,0.00191885670611555,0.00516544485010916,-0.0112096772737242,-0.0694875281931568
0.65,0.000917558910924306,-0.0023577577846699,-0.00088364911170888,0.00120465752450823,0.00789219060874963,-0.0114219369576114,-0.0736297414160735
0.66,0.000925877543348302,-0.00226493535339674,-0.000998595619536852,0.000450315536874581,0.0106717229706758,-0.0115346998112365,-0.0771515448226622
0.67,0.000926486494395094,-0.00214421076909859,-0.00111412798319769,-0.000337592849305202,0.0134751256167693,-0.0115401453690063,-0.0801654473244623
0.68,0.000919072356736833,-0.0019954929225731,-0.00122909834768679,-0.00115168875735557,0.0162714813990117,-0.0114312831282663,-0.0827857087153572
0.69,0.000903427364019826,-0.00181902249884243,-0.00134238512414961,-0.00198840708663013,0.0190414333222002,-0.0112016305500299,-0.08513436432647
0.7,0.000879284709720623,-0.00161499861300947,-0.00145271120038523,-0.0028490459165398,0.0217782739614098,-0.0108428184377985,-0.0873349501839468
0.71,0.000846384887349404,-0.0013837355057916,-0.00155874051071783,-0.00373431926971922,0.0244741416681889,-0.0103474653370719,-0.0894953705730223
0.72,0.000804485486673234,-0.00112568398166831,-0.0016590918582675,-0.00464408518351449,0.0271194214020165,-0.00970942463563981,-0.0917080920872972
0.73,0.000753361193716068,-0.0008414314088812,-0.00175233891495021,-0.00557734570998305,0.0297027447303027,-0.00892378456358161,-0.0940120663459585
0.74,0.000692803790758748,-0.000531701719434018,-0.00183701022147783,-0.00653224691589377,0.0322109898283885,-0.00798686819326662,-0.0963148641776736
0.75,0.000622622156339001,-0.000197355409092615,-0.00191158918735813,-0.00750607888272691,0.0346292814795456,-0.006896233439354,-0.0983755036660717
0.76,0.000542642265251444,0.000160610462615036,-0.00197451409089475,-0.00849527570667412,0.0369409910749768,-0.00565067305879271,-0.0998615819705763
0.77,0.000452707757979342,0.000541062856463909,-0.00202418088857786,-0.0094954380592649,0.0391278105880223,-0.00425021639962657,-0.100381248978634
0.78,0.000352739596466579,0.000942717295317858,-0.00205914248718845,-0.0104988262573711,0.0411633037269278,-0.00269685891693401,-0.0994642752100539
