t,s,phi1,phi2,phi3,Ds,Dphi1,Dphi2,Dphi3,u
0.3,0.135777864961277,-0.30274525283602,-0.0962716078562725,-0.015158716409646,1.53983424138633,-2.93034118322963,-1.50123670697297,-0.322193701819021,8.77836974048543
0.305,0.143584710122993,-0.317458384920672,-0.10399060800884,-0.0168452760271023,1.58238781613296,-2.95193567979188,-1.58785895091047,-0.352431293812136,8.26212503549868
0.31,0.151596990236632,-0.332249380126359,-0.112145869427001,-0.0186882293222503,1.62238769824548,-2.9632171267041,-1.67523767306806,-0.384530163476497,7.74588033051193
0.315,0.159801672283988,-0.347066673069995,-0.120740280608728,-0.0206965321826828,1.65964352597521,-2.96396578973041,-1.76288818420701,-0.418458945661003,7.16023133310789
0.32,0.16818505177565,-0.361858813046452,-0.129774005754202,-0.0228788403670598,1.69399022683754,-2.95406034766618,-1.85031510871733,-0.454168391950448,6.57458233570385
0.325,0.176732752750994,-0.376574464028561,-0.139244484765815,-0.0252435095051084,1.72528801761192,-2.93347789233801,-1.93701238461771,-0.49159137066552,5.94098485781319
0.33,0.185429727778192,-0.391162404667109,-0.149146433248169,-0.027798595097623,1.75342240434192,-2.90229392860375,-2.02246326355556,-0.530642866862803,5.30738737992253
0.335,0.194260257954205,-0.405571528290842,-0.159471842508076,-0.030551852516465,1.77830418233516,-2.8606823743525,-2.10614031080701,-0.571219982334776,4.64482304628144
0.34,0.203207952904786,-0.419750842906463,-0.17020997955456,-0.0335107370045634,1.79986943616335,-2.80891556050461,-2.18750540527688,-0.613201935609811,3.98225871264035
0.345,0.21225575078448,-0.433649471198631,-0.181347387098852,-0.0366824036759142,1.8180795396623,-2.74736423101165,-2.26600973949873,-0.656450061952178,3.30736334061804
0.35,0.221385918276624,-0.447216650529967,-0.192867883554395,-0.0400737075155804,1.83292115593187,-2.67649754285647,-2.3410938196348,-0.700807813362039,2.63246796859573
0.355,0.230579567768209,-0.460400767800121,-0.204753589734954,-0.043690132217667,1.84434466921328,-2.59670281146843,-2.4122118765435,-0.746086906966974,1.95966387863206
0.36,0.239818644017752,-0.473155827578329,-0.21698573406753,-0.0475341508547621,1.85226539596618,-2.50814268562171,-2.47902400303537,-0.792098452427627,1.28685978866838
0.365,0.249088698953194,-0.485447085950854,-0.229540900361907,-0.0516100130141156,1.85683618936919,-2.41153179705119,-2.5413076020939,-0.838725756840907,0.62849107435009
0.37,0.258375091420203,-0.497240751479336,-0.242394955438557,-0.0559211012072321,1.85818834592287,-2.30752593428177,-2.59886001207492,-0.885839440157489,-0.029877639968201
0.375,0.267662794796366,-0.508503509568748,-0.255523302532841,-0.0604697083037235,1.85641524945661,-2.19667926502051,-2.65149814693038,-0.933292776345941,-0.663407874065824
0.38,0.276936396991183,-0.519202522467388,-0.268900881295006,-0.0652570375313087,1.85157237112865,-2.07944433615662,-2.69905849620841,-0.980921693392724,-1.29693810816345
0.385,0.286180100446074,-0.529305429266888,-0.28250216779019,-0.0702832024758138,1.84367726942605,-1.95617207376145,-2.74139712505326,-1.02854477330219,-1.90729468648509
0.39,0.295377722134373,-0.538780345902207,-0.296301174498417,-0.075547227081172,1.83270959016471,-1.8271117830885,-2.77838967420533,-1.0759632520966,-2.51765126480674
0.395,0.304512693561332,-0.547595865151636,-0.310271450314601,-0.0810470456494236,1.81861106648936,-1.69241114857343,-2.80993136000114,-1.12296101981609,-3.14322223296942
0.4,0.313568060764117,-0.555721056636792,-0.324386080548545,-0.086779502840716,1.80128551887357,-1.55211623383403,-2.83593697437339,-1.1693046205187,-3.7687932011321
0.405,0.322526484311813,-0.563125466822627,-0.338617686924937,-0.0927403536733039,1.78059885511973,-1.40617148167026,-2.85634088485088,-1.21474325228036,-4.47420824903177
0.41,0.33137023930542,-0.569779119017417,-0.352938427583357,-0.0989242635235489,1.75637907035908,-1.2544197140642,-2.8710970345586,-1.2590087671949,-5.17962329693145
0.415,0.340081215377856,-0.575652513372772,-0.367319997078271,-0.10532480812592,1.72841624705169,-1.0966021321801,-2.88017894221763,-1.30181567137404,-5.99663798466682
0.42,0.348640916693952,-0.58071662688363,-0.381733626379035,-0.111934473572993,1.69646255498646,-0.932358316364356,-2.88357970214523,-1.34286112494739,-6.81365267240219
0.425,0.35703046195046,-0.584942913388259,-0.396150082869891,-0.11874465631545,1.66023225128112,-0.761226226145501,-2.88131198425479,-1.38182494206247,-7.72098656208114
0.43,0.365230604913183,-0.588304123514871,-0.410537837940407,-0.125746279259763,1.6194101299382,-0.582686705543719,-2.87336841007296,-1.41836688939317,-8.6283204517601
