t,x_1,x_2,x_3,u_1,u_2,u_3
0.14250000000000002,12.866281551980725,0.8914170697362089,40.15210143053902,0.0,0.0,0.0
0.145,12.571404261930617,0.5460004365117157,39.862596572740244,0.0,0.0,0.0
0.1475,12.238308325799863,0.28014739684108947,39.6851110649946,0.0,0.0,0.0
0.15,11.803880928364444,-0.13575939716185026,39.31577936197012,0.0,0.0,0.0
0.1525,11.533671918262423,-0.6183274410087435,39.1573508663638,0.0,0.0,0.0
0.155,11.289682881982925,-0.9700749860736634,38.71523548009075,0.0,0.0,0.0
0.1575,10.915136708924752,-1.2964001668844527,38.40141162912929,0.0,0.0,0.0
0.16,10.634660799768588,-1.4713128851252133,38.26366517572328,0.0,0.0,0.0
0.1625,10.462339122820154,-1.679772779869166,37.92501975467287,0.0,0.0,0.0
0.165,10.162092944250915,-1.8410724283349293,37.45653519426217,0.0,0.0,0.0
0.1675,9.843372064865989,-2.1233468884701345,37.222697112713306,0.0,0.0,0.0
0.17,9.5092352222792,-2.3766477707575704,37.0962614801264,0.0,0.0,0.0
0.17250000000000001,9.26266324598229,-2.4307933729827687,36.839199413471775,0.0,0.0,0.0
0.17500000000000002,9.000891201106429,-2.6133588874724296,36.534918199938794,0.0,0.0,0.0
0.1775,8.646341636527774,-3.147513184106528,36.13196574507017,0.0,0.0,0.0
0.18,8.43710409850011,-3.248516914001136,35.866008464013895,0.0,0.0,0.0
0.1825,8.047147865442284,-3.2851384258248615,35.472136863564955,0.0,0.0,0.0
0.185,7.762744380925704,-3.377443880739238,35.17534947629249,0.0,0.0,0.0
0.1875,7.3943103404215265,-3.624555014791661,34.82824253804371,0.0,0.0,0.0
0.19,7.183956430865427,-3.649409893755128,34.476396562146796,0.0,0.0,0.0
0.1925,6.9187608791879605,-3.7272235295199168,34.342392664258384,0.0,0.0,0.0
0.195,6.589509587725045,-3.755471835296569,34.07939379950896,0.0,0.0,0.0
0.1975,6.373727012246394,-3.8826197023060853,33.75655402532407,0.0,0.0,0.0
0.2,6.282481913095393,-4.044582487952158,33.46288993019032,0.0,0.0,0.0
0.2025,6.001749207510328,-4.002682153795554,33.15989600883052,0.0,0.0,0.0
0.20500000000000002,5.655181506009349,-4.055403906519099,33.01878183865078,0.0,0.0,0.0
0.20750000000000002,5.358275364012535,-4.170947498150202,32.45894454216908,0.0,0.0,0.0
0.21,5.320279973929521,-4.174080578507695,32.14177522204354,0.0,0.0,0.0
0.2125,5.077571904670667,-4.108815907567957,32.08451758824116,0.0,0.0,0.0
0.215,4.641040758943759,-4.2519520944977485,31.830151582185344,0.0,0.0,0.0
0.2175,4.4015333547950934,-4.342195675630272,31.501499986311373,0.0,0.0,0.0
0.22,4.181154789927544,-4.309227012653331,31.328688505192787,0.0,0.0,0.0
0.2225,4.000673144997353,-4.4241090175203714,31.199209188029066,0.0,0.0,0.0
0.225,3.8825428801871507,-4.414481995168288,30.89227624646773,0.0,0.0,0.0
0.2275,3.702194726113359,-4.430429456514053,30.419152556068568,0.0,0.0,0.0
0.23,3.4067912690352222,-4.446631659453702,30.215714459884506,0.0,0.0,0.0
0.2325,3.4036317401655105,-4.502399472233873,29.980243743461244,0.0,0.0,0.0
0.23500000000000001,3.1415110334322853,-4.6148713426044,29.842695837366225,0.0,0.0,0.0
0.23750000000000002,2.764915178723144,-4.400364021588468,29.67596026588025,0.0,0.0,0.0
0.24,2.653700311494132,-4.35950842328165,29.46002351899498,0.0,0.0,0.0
0.2425,2.5277941215412016,-4.316752417501199,29.258848918670925,0.0,0.0,0.0
0.245,2.283226381317433,-4.250384599057665,29.086379805036735,0.0,0.0,0.0
0.2475,2.0675758390683874,-4.326544125621317,28.826604601412587,0.0,0.0,0.0
0.25,1.9711360043579331,-4.370988836718211,28.56481097065087,0.0,0.0,0.0
0.2525,1.9720106207738903,-4.376872766026363,28.399373972225955,0.0,0.0,0.0
0.255,1.7869614053288092,-4.339550859809432,28.169436137402823,0.0,0.0,0.0
0.2575,1.5632553484278953,-4.460291256274659,27.874456079765537,0.0,0.0,0.0
0.26,1.3867445221885093,-4.343471520579401,27.540633081085797,0.0,0.0,0.0
0.2625,1.1472118362318584,-4.392444994424694,27.44426919003554,0.0,0.0,0.0
0.265,1.1716243783382019,-4.397745090174906,27.26872291269482,0.0,0.0,0.0
0.2675,0.7898014671844944,-4.38784146172349,27.06552537686127,0.0,0.0,0.0
