t,x_1,x_2,x_3,u_1,u_2,u_3
0.085,18.090236629119286,13.149111345530077,40.133837087194685,0.0,0.0,0.0
0.08750000000000001,17.927435811505344,12.607412500433446,40.428442373257546,0.0,0.0,0.0
0.09,17.89705124093995,12.077630007748349,40.793313394108026,0.0,0.0,0.0
0.0925,17.629044101474886,11.594897745244655,40.84522873729915,0.0,0.0,0.0
0.095,17.39586028484586,10.993222327255104,41.24109914100772,0.0,0.0,0.0
0.0975,17.069936835036604,10.298119206150037,41.3499064467034,0.0,0.0,0.0
0.1,17.09243940174171,9.665247585197854,41.5693026103738,0.0,0.0,0.0
0.10250000000000001,16.90278420176979,9.076377540981733,41.40096016410185,0.0,0.0,0.0
0.105,16.71944855831044,8.514972086139286,41.66614352058738,0.0,0.0,0.0
0.1075,16.582232048283387,7.967699593522253,41.79157672450394,0.0,0.0,0.0
0.11,16.296464551076284,7.378347739656432,41.723772645753854,0.0,0.0,0.0
0.1125,16.314360325749146,6.7451496180479,41.87632652637029,0.0,0.0,0.0
0.115,15.8854446820533,6.255923505624373,41.773116840683414,0.0,0.0,0.0
0.11750000000000001,15.582188078996893,5.814005274938555,41.885733397430606,0.0,0.0,0.0
0.12,15.322666920936971,5.208422208673818,41.62948524112608,0.0,0.0,0.0
0.1225,15.031181861286083,4.535519693354096,41.69242058243291,0.0,0.0,0.0
0.125,14.720158166001783,4.276399668233543,41.40460958349675,0.0,0.0,0.0
0.1275,14.464523558376845,3.630359561526568,41.384990392539095,0.0,0.0,0.0
0.13,14.290605248047664,3.0079315721815387,41.154196097663224,0.0,0.0,0.0
0.1325,13.888025079467567,2.6966888894723624,40.853282287444934,0.0,0.0,0.0
0.135,13.758283106816313,2.213372071236455,40.788971364735616,0.0,0.0,0.0
0.1375,13.315103484499486,1.6268884785267406,40.6633919085694,0.0,0.0,0.0
0.14,13.064032422162256,1.4322619818363778,40.29219895421119,0.0,0.0,0.0
0.14250000000000002,12.8363077639474,1.0805100241800631,40.22037953295073,0.0,0.0,0.0
0.145,12.548618050283942,0.3186903702395298,40.076823060308676,0.0,0.0,0.0
0.1475,12.132287948248177,0.3634626355581861,39.70270272659941,0.0,0.0,0.0
0.15,11.86263992535836,-0.1240622044171768,39.39548449932793,0.0,0.0,0.0
0.1525,11.544620095627458,-0.5737798459068243,39.06160348585356,0.0,0.0,0.0
0.155,11.348681758937133,-0.7302294516053738,38.74642100773805,0.0,0.0,0.0
0.1575,11.013546545948245,-1.193729943023682,38.68466375285544,0.0,0.0,0.0
0.16,10.69980746184526,-1.366121272382814,38.23210392765599,0.0,0.0,0.0
0.1625,10.520643284393753,-1.7994709893072491,38.03392249930838,0.0,0.0,0.0
0.165,10.086610881651126,-1.7315404375802275,37.58113062988244,0.0,0.0,0.0
0.1675,9.692534407942388,-2.0586802712564682,37.21505896678689,0.0,0.0,0.0
0.17,9.503340523975407,-2.2625169481317022,37.000444647345816,0.0,0.0,0.0
0.17250000000000001,9.115089962888373,-2.6816191591780525,36.96411806935529,0.0,0.0,0.0
0.17500000000000002,8.743553732043939,-2.7507017692741944,36.48952624839175,0.0,0.0,0.0
0.1775,8.607820433767909,-2.87081731790653,36.1073099538454,0.0,0.0,0.0
0.18,8.404234549514062,-2.9902673998543725,35.8686533169626,0.0,0.0,0.0
0.1825,7.9494613307007125,-3.2817119731154256,35.47251489930465,0.0,0.0,0.0
0.185,7.822985797123648,-3.5169393882007762,35.30724625489569,0.0,0.0,0.0
0.1875,7.551746168831124,-3.515905181889055,35.01012301106292,0.0,0.0,0.0
0.19,7.187819320527503,-3.5615618973637546,34.58894117699322,0.0,0.0,0.0
0.1925,6.8519428531159425,-3.7959846697631017,34.325151665284395,0.0,0.0,0.0
0.195,6.759646185262615,-3.5726447645537993,34.15845176426208,0.0,0.0,0.0
0.1975,6.340131228529,-3.901672718098851,33.54767331173456,0.0,0.0,0.0
0.2,6.198558683943343,-3.8835680331792037,33.57581928718904,0.0,0.0,0.0
0.2025,5.899711286568081,-4.0107829300504765,33.314817451652786,0.0,0.0,0.0
0.20500000000000002,5.56610139216989,-4.2402922893038175,32.70554294415285,0.0,0.0,0.0
0.20750000000000002,5.402106422683088,-4.230543852143063,32.60303807932619,0.0,0.0,0.0
