t,s,phi1,Ds,Dphi,u,DDs,DDphi
0,0,2.94524311274043,0,0,3.04368015879782e-06,-0.894663094655086,-9.12192304946383
0.00133333333333333,-7.92308641020664e-07,2.94523501442812,-0.00118626167564145,-0.012139978803587,1.21772395572458e-05,-0.884757944242359,-9.08822125543382
0.00266666666666667,-3.15754136313588e-06,2.94521075913531,-0.00235941988937973,-0.0242356916042512,3.82520493689354e-05,-0.875005308473521,-9.05551543936398
0.004,-7.07831299912042e-06,2.94517040516619,-0.00351966433027052,-0.0362884216079024,9.97801814841745e-05,-0.86538853960174,-9.02375049271044
0.00533333333333333,-1.25373268512202e-05,2.94511400968628,-0.00466716361545855,-0.0482993831195919,0.00022390995256756,-0.85588415627773,-8.9928494370248
0.00666666666666667,-1.95179397520065e-05,2.94504162677981,-0.0058020442037398,-0.0602696511145851,0.000444749764256522,-0.84646338404324,-8.9627184376835
0.008,-2.80035587203373e-05,2.94495330947628,-0.00692439083155844,-0.0722001646986266,0.000801137825568666,-0.837093952086632,-8.93325250341389
0.00933333333333333,-3.79775259960502e-05,2.94484911014043,-0.00803424925799709,-0.0840917363791676,0.00133429422843597,-0.827741973228208,-8.90434150209768
0.0106666666666667,-4.94231190399619e-05,2.94472908047231,-0.00913162626477688,-0.0959450520653668,0.00208478468160909,-0.81837440560433,-8.8758780542109
0.012,-6.23235505338682e-05,2.94459327150724,-0.0102164896562574,-0.107760671068089,0.0030899657703229,-0.808961123922189,-8.84776417397492
0.0133333333333333,-7.66619683805446e-05,2.94444173361584,-0.0112887682594366,-0.119539026099908,0.00438364508648259,-0.799475195937398,-8.819912157493
0.0146666666666667,-9.24214557037455e-05,2.94427451650399,-0.0123483519239511,-0.131280423275101,0.00599664802457495,-0.789892424229648,-8.79224311585777
0.016,-0.000109585030848205,2.94409166921286,-0.0133950915220759,-0.142985042109656,0.00795620647772725,-0.780191842305888,-8.76468856617827
0.0173333333333333,-0.000128135620612251,2.94389324022616,-0.0144288014462624,-0.154652943838481,0.010285975656442,-0.770355680678291,-8.7371903186122
0.0186666666666667,-0.000148053009914658,2.94367928971814,-0.0154495489415402,-0.166285035099767,0.013008701348646,-0.760364777795072,-8.70968521828011
0.02,-0.000169318693894048,2.94344987004121,-0.0164572048105896,-0.177881570900471,0.0161489007713218,-0.750200181418587,-8.68211115452212
0.0213333333333333,-0.000191916120409883,2.94320502446682,-0.0174513967906423,-0.189441997115816,0.0197328056456436,-0.739843586268754,-8.65440853272372
0.0226666666666667,-0.000215828095120757,2.94294479753643,-0.018431747073811,-0.200965741144315,0.0237861770423936,-0.729277110530766,-8.62651909605309
0.024,-0.000241036781484393,2.94266923506146,-0.0193978723070898,-0.212452211907767,0.0283310894853715,-0.718485900980675,-8.59839427266125
0.0253333333333333,-0.000267523700757646,2.94237838412335,-0.0203493835923537,-0.223900799851262,0.0333836937101371,-0.707459944696062,-8.57000097830737
0.0266666666666667,-0.000295269731996501,2.94207229307351,-0.0212858864863589,-0.235310876943177,0.0389560851112201,-0.696192555235536,-8.54131676422507
